AÑO;IDNOREMP;CORRELA;IDOJ1;IDAIO;BRUTA;ARRIENDO;SERV_INT;PUBLICI;TRANSP;SERV_EXT;TOTAL_REM;VENTA;TOT_PERSO;INV_PRO;CTO
2014;984260;472;14;2009;1603047;466403;101570;9747;9860;77902;481219;3234730;38;106833;1631683
2014;984254;472;14;2012;709294;42000;112351;19106;34690;7854;274040;6409468;23;872419;5700174
2014;984243;4711;14;2010;728896;172578;76517;;132987;3850;216380;1662370;12;392326.5;933474
2014;984235;472;14;2010;1252948;53148;117982;5118;78362;11614;527672;8352988;36;3881270.5;7100040
2014;984194;4711;14;2011;2623965;25476;18109;105;962075;85571;1145082;13949288;95;4550;11325323
2014;984189;472;14;2011;1059280;;127568;15600;77040;67720;313047;3846676;30;692800;2787396
2014;984172;472;99;2012;800514;96600;92650;15273;84453;57397;373940;4691813;26;513130;3891299
2014;984165;472;14;2013;6179967;40507;346222;55137;383386;224269;1849909;54299162;153;1642827.5;48119195
2014;984154;472;14;2012;389242;57142;116514;;43889;32243;341665;5371248;28;34038;4982006
2014;984149;472;14;2013;2232897;121412;214365;;201189;170704;1014046;17031643;69;833886.5;14798746
2014;984143;472;14;2013;950060;101646;81144;14163;80826;48577;509634;8884865;42;731885;7934805
2014;984140;472;14;2013;4302213;862120;849394;514898;129663;130066;808454;27288466;72;2898676.5;22986253
2014;984139;472;14;2013;1687580;471820;44017;48236;99058;10286;436172;12054139;46;432274;10366559
2014;984114;472;11;2000;1095347;;79940;2641;348978;25256;337583;4166262;29;40716.5;3070915
2014;984113;472;11;2011;1348383;66097;204877;9998;;23239;492322;8160886;49;101902.5;6812503
2014;984091;472;14;2008;1283596;181939;153971;4400;48396;17954;543473;10750271;42;1075871;9466675
2014;984083;4711;14;0;;;;;;;;16217243.4;;;
2014;984082;472;14;2010;785573;8650;124427;4827;31162;13428;423713;4006896;38;1673644;3221323
2014;984080;472;14;2011;1299365;78800;110935;24186;24993;12365;514607;9875368;35;1482814;8576003
2014;984071;472;11;2006;352180;26200;25036;226;3810;;291668;3596670;15;1422572;3244490
2014;984070;472;11;2003;1732965;36720;11980;;;1110;82010;3851032;6;1212570;2118067
2014;984069;472;11;1998;677197;;23151;;6724;35682;326741;16104580;25;965336;15427383
2014;984068;472;11;2008;756588;90893;58412;;9745;22074;365889;8696191;33;593858.5;7939603
2014;984064;472;14;2010;319232;55100;11576;;;;237836;8994352;22;700280;8675120
2014;984052;472;14;2011;493888;61556;32314;25000;36595;27686;191754;5928178;13;207874;5434290
2014;984047;472;11;2008;233803;12000;958;;;;198469;1942492;20;174283.5;1708689
2014;984045;472;11;1987;;;;;;;;2584782;16;;
2014;984032;4711;11;2005;;;;;;;;2740541;15;;
2014;984029;472;11;1997;;;;;;;;694446;10;;
2014;984021;4711;11;2011;;;;;;;;2988475;8;;
2014;983963;472;2;2007;;;;;;;;1875572;7;;
2014;983911;472;4;2009;;;;;;;;2213000;16;;
2014;983882;4711;11;2013;;;;;;;;2294809;15;;
2014;983817;472;11;1981;220410;16802;6569;1500;3908;;115038;3613925;12;892587;3393515
2014;983778;472;14;2012;;;;;;;;1284746;19;;
2014;983732;472;11;1997;483770;;34400;20000;;3100;104520;3195052;11;277140;2711282
2014;983719;472;14;2011;;;;;;;;2612769;8;;
2014;983715;4711;4;1996;;;;;;;;1858841;15;;
2014;983655;472;14;2008;587308;70154;38070;477;21671;23290;214795;4546683;11;519504;3959375
2014;983650;472;4;1985;288703;;10505;;;777;153497;4163243;11;419140;3874540
2014;983649;472;13;2008;362952;70401;19930;;2602;945;112241;3914240;9;766262;3551288
2014;983629;472;11;1990;;;;;;;;269586;12;;
2014;983622;472;11;2003;494696;65400;43909;;38506;7035;126407;4060262;11;411481;3565566
2014;983602;472;14;2003;838337;228989;52818;7152;66246;6434;320888;1496073;50;75510;657736
2014;983587;472;11;2001;265960;;24869;;2015;5610;104722;3356515;11;487891.5;3090555
2014;983568;472;11;2001;377404;43081;18552;;650;4489;136884;3875279;13;354845.5;3497875
2014;983563;472;14;2010;878366;203316;24614;;33260;18402;147966;7399435;7;1320260;6521069
2014;983551;472;11;1997;368900;300;13920;;750;320;;11572216;21;361119.5;11203316
2014;983512;472;14;2010;;;;;;;;1453000;10;;
2014;983489;472;14;2011;506045;45506;66926;5281;26974;3106;248845;4676270;25;601674.5;4170225
2014;983480;472;11;2012;;;;;;;;740146;11;;
2014;983478;472;11;2004;699503;;3221;;691;117590;370177;7042594;32;1206169.5;6343091
2014;983469;4711;11;1998;;;;;;;;2104801;11;;
2014;983462;472;11;2003;255708;;29962;;6210;7584;120280;3960990;11;345330.5;3705282
2014;983461;472;11;1999;965252;;25180;;35300;32800;212147;3276352;12;67650;2311100
2014;983460;472;9;2008;986350;38665;14796;;33600;3750;150730;7519000;15;158549.5;6532650
2014;983449;472;11;2011;;;;;;;;1657000;5;;
2014;983426;4711;11;1999;;;;;;;;2147547;8;;
2014;983385;472;14;2011;;;;;;;;1970230;8;;
2014;983361;472;14;2011;411619;;46103;238;3925;4173;270909;4306842;23;272923;3895223
2014;983320;4711;11;2003;;;;;;;;2861447;10;;
2014;983307;472;14;2009;1805654;58818;42085;;326372;33056;375773;13119719;22;145400.5;11314065
2014;983265;4711;4;2008;;;;;;;;2401000;12;;
2014;983250;472;14;2010;456961;9600;31359;6600;17968;16420;46249;4816944;4;488082;4359983
2014;983241;472;14;2010;;;;;;;;1841974;13;;
2014;983218;472;11;1997;;;;;;;;2415000;13;;
2014;983203;472;7;2010;4333317;3517823;104582;239308;87240;91084;941905;7926607;37;2135192.5;3593290
2014;983200;472;11;2006;;;;;;;;1567543;11;;
2014;983187;472;11;1987;708490;;45300;8085;28084;39451;371066;6295374;29;343364;5586884
2014;983169;472;11;2004;;;;;;;;1975276;10;;
2014;983155;4711;4;1991;;;;;;;;2086530;7;;
2014;983141;472;11;2002;;;;;;;;1690457;11;;
2014;983124;472;11;2001;511400;;46860;;;14000;220697;1278500;21;282000;767100
2014;983109;4711;11;2001;;;;;;;;2427425;11;;
2014;983072;472;11;2004;;;;;;;;2300277;12;;
2014;983055;472;14;2011;554662;33570;18906;;20465;23987;185089;7141996;12;49395;6587334
2014;983044;4711;11;1997;;;;;;;;1879429;5;;
2014;983037;4711;4;1987;;;;;;;;1185572;19;;
2014;983020;472;4;1999;292266;16830;28074;;;10449;148019;4384784;6;56479;4092518
2014;983009;472;11;2008;807865;;163115;12500;27730;251000;134404;4857103;13;128752.5;4049238
2014;983006;4711;11;1992;;;;;;;;1819060;9;;
2014;982987;472;11;1999;;;;;;;;2352130;16;;
2014;982944;472;14;2011;531647;110297;61210;;44802;;119109;11650628;14;1256554;11118981
2014;982930;4711;4;2008;505533;62679;45663;;6898;25257;357607;8198977;16;921026.5;7693444
2014;982895;472;11;2003;1364771;21305;33650;;64195;18486;326615;11161914;37;290620;9797143
2014;982887;4711;11;2005;;;;;;;;1885980;4;;
2014;982826;4711;11;1991;;;;;;;;2352500;11;;
2014;982801;4711;4;2004;;;;;;;;2823542;15;;
2014;982800;472;11;2001;;;;;;;;1680900;10;;
2014;982790;4711;11;2004;;;;;;;;1746431;15;;
2014;982758;472;11;1996;293775;27028;65015;5020;47025;8234;139644;10134424;10;476833.5;9840649
2014;982734;4711;11;2002;;;;;;;;3038659;10;;
2014;982726;472;4;2007;489388;74021;32000;;21905;9825;206792;5156900;12;57876.5;4667512
2014;982705;472;11;2005;500830;;40995;;15102;14377;134173;6458309;12;36564;5957479
2014;982704;472;11;1996;222966;30000;32481;;;2607;109517;4465039;10;446819.5;4242073
2014;982687;472;11;1998;;;;;;;;971222;14;;
2014;982659;472;4;2007;1097228;320571;12750;16418;40991;57452;356494;4722916;13;6447.5;3625688
2014;982643;472;11;2005;;;;;;;;2598000;14;;
2014;982642;4711;11;1987;;;;;;;;2400000;12;;
2014;982636;4711;11;1991;;;;;;;;2813865;16;;
2014;982587;472;11;1982;;;;;;;;1749561;11;;
2014;982556;472;4;2004;636999;81600;27327;521;60225;28466;172471;3356449;14;132532.5;2719450
2014;982512;472;2;2001;853415;34922;53362;;36137;23083;201625;3652451;9;13348;2799036
